"","Comparison","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","effect","size"
"1","C4.Untreated - Dexamethasone","GO:0003779","actin binding","91/1992","438/18496","4.440542e-10","5.053337e-07","4.604141e-07","91","0.6570559","0.045682731"
"2","C4.Untreated - Dexamethasone","GO:0004674","protein serine/threonine kinase activity","74/1992","427/18496","2.403921e-05","2.486965e-03","2.265896e-03","74","0.4756964","0.037148594"
"3","C4.Untreated - Dexamethasone","GO:0004713","protein tyrosine kinase activity","28/1992","138/18496","7.028629e-04","2.962437e-02","2.699103e-02","28","0.6333662","0.014056225"
"4","C4.Untreated - Dexamethasone","GO:0004721","phosphoprotein phosphatase activity","34/1992","176/18496","5.200340e-04","2.603032e-02","2.371646e-02","34","0.5842919","0.017068273"
"5","C4.Untreated - Dexamethasone","GO:0004725","protein tyrosine phosphatase activity","23/1992","96/18496","1.715901e-04","1.027735e-02","9.363782e-03","23","0.7995614","0.011546185"
"6","C4.Untreated - Dexamethasone","GO:0004860","protein kinase inhibitor activity","21/1992","72/18496","1.441099e-05","1.822190e-03","1.660214e-03","21","0.9962717","0.010542169"
"7","C4.Untreated - Dexamethasone","GO:0005158","insulin receptor binding","10/1992","22/18496","3.911416e-05","3.179422e-03","2.896800e-03","10","1.4399580","0.005020080"
"8","C4.Untreated - Dexamethasone","GO:0005201","extracellular matrix structural constituent","36/1992","166/18496","3.103025e-05","2.942702e-03","2.681123e-03","36","0.6999465","0.018072289"
"9","C4.Untreated - Dexamethasone","GO:0016747","acyltransferase activity, transferring groups other than amino-acyl groups","41/1992","225/18496","5.260962e-04","2.603032e-02","2.371646e-02","41","0.5258870","0.020582329"
"10","C4.Untreated - Dexamethasone","GO:0016791","phosphatase activity","51/1992","270/18496","4.575871e-05","3.254588e-03","2.965285e-03","51","0.5618190","0.025602410"
"11","C4.Untreated - Dexamethasone","GO:0017018","myosin phosphatase activity","19/1992","82/18496","9.455420e-04","3.648801e-02","3.324455e-02","19","0.7661351","0.009538153"
"12","C4.Untreated - Dexamethasone","GO:0019199","transmembrane receptor protein kinase activity","19/1992","79/18496","5.802771e-04","2.689952e-02","2.450839e-02","19","0.8034065","0.009538153"
"13","C4.Untreated - Dexamethasone","GO:0019207","kinase regulator activity","45/1992","256/18496","6.483861e-04","2.837936e-02","2.585669e-02","45","0.4899004","0.022590361"
"14","C4.Untreated - Dexamethasone","GO:0019210","kinase inhibitor activity","22/1992","76/18496","1.037760e-05","1.476214e-03","1.344992e-03","22","0.9887244","0.011044177"
"15","C4.Untreated - Dexamethasone","GO:0019838","growth factor binding","27/1992","135/18496","1.088584e-03","3.780853e-02","3.444770e-02","27","0.6189774","0.013554217"
"16","C4.Untreated - Dexamethasone","GO:0019887","protein kinase regulator activity","40/1992","226/18496","1.096381e-03","3.780853e-02","3.444770e-02","40","0.4967598","0.020080321"
"17","C4.Untreated - Dexamethasone","GO:0030020","extracellular matrix structural constituent conferring tensile strength","15/1992","45/18496","4.292346e-05","3.254588e-03","2.965285e-03","15","1.1298030","0.007530120"
"18","C4.Untreated - Dexamethasone","GO:0030291","protein serine/threonine kinase inhibitor activity","11/1992","37/18496","1.319441e-03","4.416245e-02","4.023681e-02","11","1.0153927","0.005522088"
"19","C4.Untreated - Dexamethasone","GO:0031267","small GTPase binding","56/1992","281/18496","3.819161e-06","8.692411e-04","7.919735e-04","56","0.6154124","0.028112450"
"20","C4.Untreated - Dexamethasone","GO:0031625","ubiquitin protein ligase binding","66/1992","308/18496","3.187220e-08","1.813528e-05","1.652322e-05","66","0.6879703","0.033132530"
"21","C4.Untreated - Dexamethasone","GO:0035091","phosphatidylinositol binding","47/1992","276/18496","1.009410e-03","3.705513e-02","3.376126e-02","47","0.4581621","0.023594378"
"22","C4.Untreated - Dexamethasone","GO:0035497","cAMP response element binding","6/1992","12/18496","8.049098e-04","3.271383e-02","2.980587e-02","6","1.5352682","0.003012048"
"23","C4.Untreated - Dexamethasone","GO:0042578","phosphoric ester hydrolase activity","59/1992","358/18496","5.909384e-04","2.689952e-02","2.450839e-02","59","0.4254198","0.029618474"
"24","C4.Untreated - Dexamethasone","GO:0044389","ubiquitin-like protein ligase binding","66/1992","327/18496","3.349783e-07","1.270684e-04","1.157732e-04","66","0.6281099","0.033132530"
"25","C4.Untreated - Dexamethasone","GO:0046332","SMAD binding","22/1992","79/18496","2.039729e-05","2.321211e-03","2.114876e-03","22","0.9500099","0.011044177"
"26","C4.Untreated - Dexamethasone","GO:0048185","activin binding","6/1992","11/18496","4.427823e-04","2.399459e-02","2.186168e-02","6","1.6222795","0.003012048"
"27","C4.Untreated - Dexamethasone","GO:0048407","platelet-derived growth factor binding","7/1992","11/18496","3.706528e-05","3.179422e-03","2.896800e-03","7","1.7764302","0.003514056"
"28","C4.Untreated - Dexamethasone","GO:0051015","actin filament binding","44/1992","208/18496","8.505425e-06","1.382739e-03","1.259826e-03","44","0.6750669","0.022088353"
"29","C4.Untreated - Dexamethasone","GO:0051019","mitogen-activated protein kinase binding","11/1992","28/18496","8.261220e-05","5.222927e-03","4.758656e-03","11","1.2941061","0.005522088"
"30","C4.Untreated - Dexamethasone","GO:0051020","GTPase binding","60/1992","313/18496","6.364626e-06","1.207157e-03","1.099852e-03","60","0.5765567","0.030120482"
"31","C4.Untreated - Dexamethasone","GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding","61/1992","344/18496","6.158723e-05","4.122722e-03","3.756249e-03","61","0.4986475","0.030622490"
"32","C4.Untreated - Dexamethasone","GO:0071933","Arp2/3 complex binding","7/1992","14/18496","2.874687e-04","1.635697e-02","1.490298e-02","7","1.5352682","0.003514056"
"33","C4.Untreated - Dexamethasone","GO:0140297","DNA-binding transcription factor binding","87/1992","477/18496","5.504989e-07","1.566169e-04","1.426951e-04","87","0.5268070","0.043674699"
"34","C4.Untreated - Dexamethasone","GO:1901682","sulfur compound transmembrane transporter activity","15/1992","58/18496","9.618983e-04","3.648801e-02","3.324455e-02","15","0.8760225","0.007530120"
