"","Comparison","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","effect"
"1","C1.Untreated - Dexamethasone","R-HSA-442660","Na+/Cl- dependent neurotransmitter transporters","14","0.9191024","1.855102","2.659267e-05","4.063359e-02","3.941313e-02","58","tags=14%, list=0%, signal=14%","1.855102"
"2","C2.N61311 - N052611","R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","111","0.8046091","2.177111","1.880921e-09","6.263096e-07","6.152642e-07","1914","tags=59%, list=9%, signal=54%","2.177111"
"3","C2.N61311 - N052611","R-HSA-156842","Eukaryotic Translation Elongation","93","0.8330527","2.172729","7.049913e-09","1.077227e-06","1.058229e-06","1800","tags=70%, list=9%, signal=64%","2.172729"
"4","C2.N61311 - N052611","R-HSA-156902","Peptide chain elongation","89","0.8322058","2.181537","2.555744e-08","2.154885e-06","2.116882e-06","1914","tags=71%, list=9%, signal=65%","2.181537"
"5","C2.N61311 - N052611","R-HSA-168255","Influenza Infection","155","0.7440387","2.070582","2.679503e-08","2.154885e-06","2.116882e-06","2442","tags=51%, list=12%, signal=45%","2.070582"
"6","C2.N61311 - N052611","R-HSA-168273","Influenza Viral RNA Transcription and Replication","135","0.7648793","2.089217","6.429323e-09","1.077227e-06","1.058229e-06","2442","tags=55%, list=12%, signal=49%","2.089217"
"7","C2.N61311 - N052611","R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","112","0.7679262","2.077372","4.597586e-07","3.193232e-05","3.136917e-05","1800","tags=55%, list=9%, signal=51%","2.077372"
"8","C2.N61311 - N052611","R-HSA-192823","Viral mRNA Translation","89","0.8325441","2.182424","2.422112e-08","2.154885e-06","2.116882e-06","1914","tags=71%, list=9%, signal=65%","2.182424"
"9","C2.N61311 - N052611","R-HSA-2408522","Selenoamino acid metabolism","118","0.7017696","1.902119","4.646066e-05","2.218496e-03","2.179372e-03","1497","tags=53%, list=7%, signal=49%","1.902119"
"10","C2.N61311 - N052611","R-HSA-2408557","Selenocysteine synthesis","93","0.8297530","2.164122","1.051848e-08","1.148017e-06","1.127771e-06","1914","tags=68%, list=9%, signal=62%","2.164122"
